gene,disease
AQP9,acute myeloid leukemia
KRAS,acute myeloid leukemia
BCL2,acute myeloid leukemia
RASGRP1,acute myeloid leukemia
CDK6,acute myeloid leukemia
IFI30,acute myeloid leukemia
CEBPD,acute myeloid leukemia
GAS2L1,acute myeloid leukemia
SEPTIN9,acute myeloid leukemia
EHMT2,acute myeloid leukemia
PIM2,acute myeloid leukemia
PSIP1,acute myeloid leukemia
ADCY7,acute myeloid leukemia
VSIG4,acute myeloid leukemia
CNR2,acute myeloid leukemia
CSF1R,acute myeloid leukemia
CSF2,acute myeloid leukemia
CSF3,acute myeloid leukemia
CST3,acute myeloid leukemia
CTNNA1,acute myeloid leukemia
CTSH,acute myeloid leukemia
CTSZ,acute myeloid leukemia
DAPK1,acute myeloid leukemia
DHX15,acute myeloid leukemia
DNMT3A,acute myeloid leukemia
LPAR1,acute myeloid leukemia
EIF4EBP1,acute myeloid leukemia
ENO2,acute myeloid leukemia
EPHX1,acute myeloid leukemia
ERG,acute myeloid leukemia
ETV6,acute myeloid leukemia
MECOM,acute myeloid leukemia
FHL2,acute myeloid leukemia
FOXO1,acute myeloid leukemia
CHIC2,acute myeloid leukemia
GFI1,acute myeloid leukemia
GTF2I,acute myeloid leukemia
H1-0,acute myeloid leukemia
H1-2,acute myeloid leukemia
ANXA2,acute myeloid leukemia
ANXA4,acute myeloid leukemia
ANXA5,acute myeloid leukemia
HGF,acute myeloid leukemia
EHD3,acute myeloid leukemia
ANXA6,acute myeloid leukemia
HOXA9,acute myeloid leukemia
HSPB1,acute myeloid leukemia
ID2,acute myeloid leukemia
FAS,acute myeloid leukemia
AQP9,acute myeloid leukemia
JAK2,acute myeloid leukemia
AGRN,acute myeloid leukemia
MALAT1,acute myeloid leukemia
KRAS,acute myeloid leukemia
LPP,acute myeloid leukemia
LYL1,acute myeloid leukemia
MET,acute myeloid leukemia
MLF1,acute myeloid leukemia
MN1,acute myeloid leukemia
MX1,acute myeloid leukemia
NF1,acute myeloid leukemia
ATP1B1,acute myeloid leukemia
NRAS,acute myeloid leukemia
NTRK3,acute myeloid leukemia
NUP98,acute myeloid leukemia
ZBTB7A,acute myeloid leukemia
PDE4B,acute myeloid leukemia
CHMP5,acute myeloid leukemia
FXYD6,acute myeloid leukemia
POU4F1,acute myeloid leukemia
ASXL2,acute myeloid leukemia
ENAH,acute myeloid leukemia
PTPN11,acute myeloid leukemia
PVR,acute myeloid leukemia
NECTIN2,acute myeloid leukemia
KMT2C,acute myeloid leukemia
BCL2,acute myeloid leukemia
RGS2,acute myeloid leukemia
BACH2,acute myeloid leukemia
S100A8,acute myeloid leukemia
S100A10,acute myeloid leukemia
NSD1,acute myeloid leukemia
SGK1,acute myeloid leukemia
SH3GL1,acute myeloid leukemia
SPARC,acute myeloid leukemia
SPI1,acute myeloid leukemia
STAT3,acute myeloid leukemia
SVIL,acute myeloid leukemia
TCEA2,acute myeloid leukemia
TERT,acute myeloid leukemia
TRH,acute myeloid leukemia
TRIO,acute myeloid leukemia
TSC2,acute myeloid leukemia
TUBB2A,acute myeloid leukemia
WT1,acute myeloid leukemia
PXDN,acute myeloid leukemia
BAALC,acute myeloid leukemia
NUP214,acute myeloid leukemia
MLLT10,acute myeloid leukemia
VOPP1,acute myeloid leukemia
SPRY4,acute myeloid leukemia
CAPG,acute myeloid leukemia
CAPN2,acute myeloid leukemia
PICALM,acute myeloid leukemia
CASP7,acute myeloid leukemia
RUNX1,acute myeloid leukemia
RUNX1T1,acute myeloid leukemia
ASMTL,acute myeloid leukemia
RUNX3,acute myeloid leukemia
TNFSF10,acute myeloid leukemia
INPP4B,acute myeloid leukemia
DLEU2,acute myeloid leukemia
CCND2,acute myeloid leukemia
SYNGR1,acute myeloid leukemia
CD9,acute myeloid leukemia
CD44,acute myeloid leukemia
TET2,acute myeloid leukemia
RASGRP1,acute myeloid leukemia
CDK6,acute myeloid leukemia
IFI30,acute myeloid leukemia
CEBPA,acute myeloid leukemia
CEBPD,acute myeloid leukemia
GAS2L1,acute myeloid leukemia
SEPTIN9,acute myeloid leukemia
EHMT2,acute myeloid leukemia
PIM2,acute myeloid leukemia
PSIP1,acute myeloid leukemia
ADCY7,acute myeloid leukemia
VSIG4,acute myeloid leukemia
CNR2,acute myeloid leukemia
CSF1R,acute myeloid leukemia
CSF2,acute myeloid leukemia
CSF3,acute myeloid leukemia
CST3,acute myeloid leukemia
CTNNA1,acute myeloid leukemia
CTSH,acute myeloid leukemia
CTSZ,acute myeloid leukemia
DAPK1,acute myeloid leukemia
DHX15,acute myeloid leukemia
DNMT3A,acute myeloid leukemia
LPAR1,acute myeloid leukemia
EIF4EBP1,acute myeloid leukemia
ENO2,acute myeloid leukemia
EPHX1,acute myeloid leukemia
ERG,acute myeloid leukemia
ETV6,acute myeloid leukemia
MECOM,acute myeloid leukemia
FHL2,acute myeloid leukemia
FOXO1,acute myeloid leukemia
GATA2,acute myeloid leukemia
CHIC2,acute myeloid leukemia
GFI1,acute myeloid leukemia
GTF2I,acute myeloid leukemia
H1-0,acute myeloid leukemia
H1-2,acute myeloid leukemia
ANXA2,acute myeloid leukemia
ANXA4,acute myeloid leukemia
ANXA5,acute myeloid leukemia
HGF,acute myeloid leukemia
EHD3,acute myeloid leukemia
ANXA6,acute myeloid leukemia
HOXA9,acute myeloid leukemia
HSPB1,acute myeloid leukemia
ID2,acute myeloid leukemia
IDH1,acute myeloid leukemia
JAK2,acute myeloid leukemia
AGRN,acute myeloid leukemia
MALAT1,acute myeloid leukemia
LPP,acute myeloid leukemia
LYL1,acute myeloid leukemia
MET,acute myeloid leukemia
MLF1,acute myeloid leukemia
MN1,acute myeloid leukemia
MX1,acute myeloid leukemia
MYC,acute myeloid leukemia
MYH11,acute myeloid leukemia
NF1,acute myeloid leukemia
ATP1B1,acute myeloid leukemia
NRAS,acute myeloid leukemia
NTRK3,acute myeloid leukemia
NUP98,acute myeloid leukemia
ZBTB7A,acute myeloid leukemia
PDE4B,acute myeloid leukemia
CHMP5,acute myeloid leukemia
FXYD6,acute myeloid leukemia
POU4F1,acute myeloid leukemia
ASXL2,acute myeloid leukemia
ENAH,acute myeloid leukemia
PTPN11,acute myeloid leukemia
PVR,acute myeloid leukemia
NECTIN2,acute myeloid leukemia
KMT2C,acute myeloid leukemia
RGS2,acute myeloid leukemia
BACH2,acute myeloid leukemia
S100A8,acute myeloid leukemia
S100A10,acute myeloid leukemia
NSD1,acute myeloid leukemia
SGK1,acute myeloid leukemia
SH3GL1,acute myeloid leukemia
SPARC,acute myeloid leukemia
SPI1,acute myeloid leukemia
STAT3,acute myeloid leukemia
SVIL,acute myeloid leukemia
TCEA2,acute myeloid leukemia
TERT,acute myeloid leukemia
TRH,acute myeloid leukemia
TRIO,acute myeloid leukemia
TSC2,acute myeloid leukemia
TUBB2A,acute myeloid leukemia
WT1,acute myeloid leukemia
PXDN,acute myeloid leukemia
BAALC,acute myeloid leukemia
NUP214,acute myeloid leukemia
MLLT10,acute myeloid leukemia
VOPP1,acute myeloid leukemia
SPRY4,acute myeloid leukemia
CAPG,acute myeloid leukemia
CAPN2,acute myeloid leukemia
PICALM,acute myeloid leukemia
CASP7,acute myeloid leukemia
ASMTL,acute myeloid leukemia
RUNX3,acute myeloid leukemia
CBFB,acute myeloid leukemia
TNFSF10,acute myeloid leukemia
INPP4B,acute myeloid leukemia
DLEU2,acute myeloid leukemia
CCND2,acute myeloid leukemia
SYNGR1,acute myeloid leukemia
CD9,acute myeloid leukemia
CD44,acute myeloid leukemia
FLT3,acute myeloid leukemia
HOXB9,acute myeloid leukemia
KMT2A,acute myeloid leukemia
NPM1,acute myeloid leukemia
NUP98,acute myeloid leukemia
DDX41,acute myeloid leukemia
RB1,acute myeloid leukemia
TP53,acute myeloid leukemia
CREBBP,acute myeloid leukemia
KAT6A,acute myeloid leukemia
MRTFA,acute myeloid leukemia
RBM15,acute myeloid leukemia
CEBPA,acute myeloid leukemia
CEBPA,acute myeloid leukemia
GATA2,acute myeloid leukemia
TGM6,acute myeloid leukemia
ERCC6L2,acute myeloid leukemia
MLH1,colon cancer
CDKN1B,colon cancer
CHEK2,colon cancer
CTNNA1,colon cancer
EPHX1,colon cancer
FAN1,colon cancer
MLH3,colon cancer
MSH3,colon cancer
ATM,colon cancer
PTPRJ,colon cancer
BARD1,colon cancer
RPS20,colon cancer
SEMA4A,colon cancer
NFKBIZ,colon cancer
SMARCA4,colon cancer
XRCC4,colon cancer
PALB2,colon cancer
EXO1,colon cancer
CDH1,colon cancer
RNF139,clear cell renal cell carcinoma
FLCN,clear cell renal cell carcinoma
FHIT,clear cell renal cell carcinoma
OGG1,clear cell renal cell carcinoma
DIRC3,clear cell renal cell carcinoma
HSPBAP1,clear cell renal cell carcinoma
SLC49A4,clear cell renal cell carcinoma
LRP5,glioma
TP53,glioma
SDHD,glioma
SDHB,glioma
SDHD,glioma
SDHB,glioma
SDHAF2,glioma
CDKN2B,glioma
IDH1,glioma
PTEN,glioma
SDHB,glioma
SDHA,glioma
NBN,glioma
SDHC,glioma
SDHC,glioma
CDKN2A,glioma
ATM,glioma
SPP1,glioma
BRAF,glioma
IDH2,glioma
TP53,glioma
MAX,glioma
SDHAF2,glioma
SDHD,glioma
PTEN,glioma
NF1,glioma
IDH2,glioma
SPP1,glioma
HRAS,glioma
TP53,glioma
IDH2,glioma
CCDC26,glioma
EGFR,glioma
PHLDB1,glioma
RTEL1,glioma
ACVR1,glioma
SDHC,glioma
VHL,glioma
HRAS,glioma
SDHA,glioma
SDHB,glioma
SDHC,glioma
CHI3L1,glioma
ERBB2,glioma
FGF2,glioma
GDNF,glioma
H3-3A,glioma
MDM2,glioma
MGMT,glioma
PIK3CA,glioma
ATRX,glioma
PTGS2,glioma
BMI1,glioma
TERT,glioma
TNF,glioma
XRCC1,glioma
TNFSF10,glioma
IDH1,glioma
EPAS1,glioma
SDHAF2,glioma
TMEM127,glioma
IDH1,glioma
IDH2,glioma
IDH1,glioma
IDH2,glioma
IDH1,glioma
CDKN2A,glioma
IDH1,glioma
MGMT,glioma
PTEN,glioma
TNFSF10,glioma
IDH1,glioma
IDH2,glioma
SDHB,glioma
TMEM127,glioma
ERBB2,glioma
TP53,glioma
BRCA2,glioma
POT1,glioma
TERT,glioma
GSTP1,glioma
EGLN1,glioma
PLK1,glioma
RAF1,glioma
ROS1,glioma
SLC5A5,glioma
IDH1,glioma
HLA-C,glioma
TNF,glioma
KLF6,glioma
POT1,glioma
STMN1,glioma
FBXW7,glioma
TFRC,glioma
TOP2A,glioma
CLCN3,glioma
FGFR1,glioma
MDK,glioma
NTRK1,glioma
MDH2,glioma
CDKN2B,glioma
FGF2,glioma
PTGS2,glioma
BRAF,glioma
SDHAF2,glioma
CIC,glioma
HLA-A,glioma
SOD1,glioma
XBP1,glioma
CAT,glioma
BAP1,glioma
ERBB2,glioma
GDNF,glioma
RAF1,glioma
CDKN2C,glioma
ALK,glioma
HLA-B,glioma
APC,glioma
MSH2,glioma
MYB,glioma
ATP1B2,glioma
PIK3R1,glioma
HMGN5,glioma
PPM1D,glioma
FUBP1,glioma
CHI3L1,glioma
NTRK1,glioma
ATRX,glioma
ROS1,glioma
SLC5A5,glioma
PPM1D,glioma
CLCN2,glioma
DMBT1,glioma
FTH1,glioma
APOD,glioma
NTRK3,glioma
PMS2,glioma
ATR,glioma
H3C2,glioma
POT1,glioma
SSTR2,glioma
TP53,glioma
IDH1,glioma
PTGS2,glioma
FGFR1,glioma
H3-3A,glioma
HLA-A,glioma
STMN1,glioma
MDK,glioma
ATP1B2,glioma
NTRK3,glioma
RTEL1,glioma
PLK1,glioma
SOD1,glioma
CAT,glioma
ACVR1,glioma
MYB,glioma
QKI,glioma
STAG2,glioma
FAM107A,glioma
CLCN5,glioma
CCR4,glioma
DMXL1,glioma
PSD3,glioma
SUZ12,glioma
TRIM29,glioma
IL12A,glioma
IL12B,glioma
MYBL1,glioma
MYLK,glioma
NTRK2,glioma
XAF1,glioma
BRCA2,glioma
QKI,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
PTEN,glioma
CDKN2A,glioma
CDKN2B,glioma
CHI3L1,glioma
FAM107A,glioma
CLCN2,glioma
CLCN3,glioma
CLCN5,glioma
CCR4,glioma
CCDC26,glioma
DMXL1,glioma
ERBB2,glioma
FGF2,glioma
FGFR1,glioma
PHLDB1,glioma
PSD3,glioma
